year,income,expense,cash_flow,living_balance,nisa_balance,dc_balance,general_balance,total_assets,本人_age,配偶者_age
2026,7700000,2300000,5400000,7400000,3150000,1545000,5150000,17245000,46,44
2027,7760000,2311000,5449000,12849000,3307500,1591350,5304500,23052350,47,45
2028,7820600,2322110,5498490,18347490,3472875,1639090,5463635,28923090,48,46
2029,7881806,2333331,5548475,23895965,3646519,1688263,5627544,34858291,49,47
2030,7943624,2344664,5598960,29494925,3828845,1738911,5796370,40859051,50,48
2031,7506060,2356111,5149949,34644874,4020287,1791078,5970261,46426501,51,49
2032,7569121,2367672,5201449,39846323,4221301,1844811,6149369,52061804,52,50
2033,7632812,2379349,5253463,45099786,4432366,1900155,6333850,57766158,53,51
2034,7697140,2391142,5305998,50405784,4653985,1957160,6523866,63540794,54,52
2035,7762112,2403054,5359058,55764841,4886684,2015875,6719582,69386982,55,53
2036,7827733,2415084,5412648,61177490,5131018,2076351,6921169,75306028,56,54
2037,7894010,2427235,5466775,66644265,5387569,2138641,7128804,81299280,57,55
2038,7960950,2439508,5521443,72165707,5656947,2202801,7342669,87368124,58,56
2039,8028560,2451903,5576657,77742364,5939795,2268885,7562949,93513992,59,57
2040,8096845,2464422,5632424,83374788,6236785,2336951,7789837,99738361,60,58
2041,8165814,2477066,5688748,89063536,6548624,2407060,8023532,106042752,61,59
2042,8235472,2489837,5745635,94809171,6876055,2479271,8264238,112428736,62,60
2043,8305827,2502735,5803092,100612263,7219858,2553650,8512165,118897936,63,61
2044,8376885,2515762,5861123,106473386,7580851,2630259,8767530,125452026,64,62
2045,11548654,2528920,9019734,115854342,7959893,2709167,8669334,135192736,65,63
2046,4300000,2542209,1757791,117969309,8357888,2790442,8572237,137689876,66,64
2047,5900000,2555631,3344369,121666854,8775782,2874155,8476228,141793020,67,65
2048,4700000,2569187,2130813,124146888,9214571,2960380,8381295,144703133,68,66
2049,4700000,2582879,2117121,126609318,9675300,3049191,8287424,147621233,69,67
2050,4700000,2596708,2103292,129054051,10159065,3140667,8194605,150548388,70,68
2051,4700000,1410675,3289325,132680994,10667018,3234887,8102825,154685724,71,69
2052,4700000,1424782,3275218,136290048,11200369,3331934,8012074,158834424,72,70
2053,4700000,1439030,3260970,139881116,11760387,3431892,7922338,162995733,73,71
2054,4700000,1453420,3246580,143454096,12348407,3534848,7833608,167170960,74,72
2055,4100000,1467954,2632046,146408887,12965827,3640894,7745872,170761479,75,73
2056,4100000,1482634,2617366,149345383,13614118,3750121,7659118,174368740,76,74
2057,3700000,1497460,2202540,151863478,14294824,3862624,7573336,177594263,77,75
2058,3700000,1512435,2187565,154363065,15009566,3978503,7488515,180839648,78,76
2059,3700000,1527559,2172441,156844033,15760044,4097858,7404643,184106578,79,77
2060,3700000,1542835,2157165,159306269,16548046,4220794,7321711,187396820,80,78
2061,3700000,1558263,2141737,161749661,17375448,4347417,7239708,190712235,81,79
2062,3700000,1573846,2126154,164174091,18244221,4477840,7158623,194054775,82,80
2063,3700000,1589584,2110416,166579442,19156432,4612175,7078447,197426496,83,81
2064,3700000,1605480,2094520,168965594,20114253,4750540,6999168,200829556,84,82
2065,3700000,1621535,2078465,171332425,21119966,4893057,6920777,204266226,85,83
2066,3700000,1637750,2062250,173679811,22175964,5039848,6843265,207738889,86,84
2067,3700000,1654128,2045872,176007626,23284763,5191044,6766620,211250053,87,85
2068,3700000,1670669,2029331,178315742,24449001,5346775,6690834,214802352,88,86
2069,3700000,1687376,2012624,180604029,25671451,5507178,6615897,218398555,89,87
2070,3700000,1704249,1995751,182872354,26955023,5672394,6541799,222041570,90,88
2071,3700000,1721292,1978708,185120585,28302775,5842566,6468531,225734455,91,89
2072,3700000,1738505,1961495,187348583,29717913,6017843,6396083,229480422,92,90
2073,3700000,1755890,1944110,189556212,31203809,6198378,6324447,233282846,93,91
2074,3700000,1773449,1926551,191743331,32763999,6384329,6253613,237145272,94,92
2075,0,0,0,192000980,34402199,6575859,6183573,239162611,95,93
